Indicator,Mean_Abs_Kendall_tau,Final_Weight
Inter-sectarian and inter-communal conflict incidents,0.2506856951172711,0.19188415792850627
Number of violent incidents,0.19569401587885887,0.14979148064669728
Number of crime incidents,0.2360670356016623,0.18069449204077417
Number of fatalities in tension incidents,0.31951936735125264,0.24457201164734566
Fear of traveling within Lebanon safely,0.07466671474608862,0.05715268147884879
Feeling lack of safety during the night,0.2298100680169212,0.17590517625782787
