adm3_name,ACS_Code,Mean annual hot days,Forest fire risk,Annual Dry Spell Length,composite_score
Litige,54003,42.1916609371006,8.0,20.0550377819217,0.7873550921148136
Kneisset Hnaider,35515,34.4047619047619,142.0,9.83333333333333,0.7257139028543178
Qarha Aakkar,35518,33.8253968253968,142.0,10.5238095238095,0.7253880335856981
Qaa Jouar Maqiy̩,53267,38.8244897959184,8.0,18.8312925170068,0.71298591569691
Hnaider,35514,33.0,142.0,9.95970695970696,0.7035023936101108
Aamayer,35512,30.2770562770563,142.0,10.6493506493506,0.6666027613414193
Litige,54001,38.4761904761905,4.0,14.952380952381,0.6470135821452295
Dayret Nahr El-Kabir,35511,26.8603174603175,142.0,12.9936507936508,0.6407696672242826
Machta Hammoud,35437,27.2596006144393,142.0,10.5560675883257,0.613844085529351
Marlaya Melhem,35255,28.2222222222222,142.0,8.52380952380952,0.6021368392152687
Khalsa,35430,26.4732842296802,142.0,10.6021135268999,0.6010694460633805
Aamaret Aakkar,35265,28.3492063492063,142.0,8.19047619047619,0.5996894474122674
Tall Sebaal,35247,27.3095238095238,142.0,8.57142857142857,0.5872283192051415
Deir Dalloum,35149,27.9206349206349,142.0,7.80952380952381,0.5871071017326133
Aarqa,35141,26.9761904761905,142.0,8.94444444444444,0.5867052916830919
Semmaqli,35259,27.6981328092785,142.0,8.05212605177896,0.5866695650166142
Zouq El-Moqachrine,35161,27.7579205679978,142.0,7.77726769973808,0.5838853195280711
Qoubber Chamra,35269,28.2095238095238,142.0,7.18095238095238,0.5833351825654592
Ouadi El-Jamous,35364,27.9714285714286,142.0,7.20952380952381,0.5796695055949751
Khirbet Er Remmane,35410,25.3571428571429,142.0,10.3809523809524,0.5789709713018396
Conflict,0,37.3388119701921,4.0,11.3415403266365,0.5776399072571856
Aaouaainat Aakkar,35420,26.0,142.0,9.38095238095238,0.5760960101537211
Mar Touma,35167,27.7460317460317,142.0,7.11111111111111,0.5744629679286453
Qaa Ouadi El-Khanzir,53254,34.5658561296859,6.0,14.144883485309,0.5723145183108728
Cheikh Taba Es-Sahl,35121,25.3809523809524,142.0,9.71428571428572,0.5701504539514228
Sammouniyeh,35227,25.5952380952381,142.0,9.17619047619048,0.5663582407635447
Jdidet Ej-Joumeh,35125,25.6621301015587,142.0,9.06908273498342,0.5660168285007213
Zouq El-Hadara,35159,27.3879742704654,142.0,6.49648703938535,0.559849350541845
Kfar Melki Aakkar,35234,26.6984126984127,142.0,7.25396825396825,0.5585712454003412
Minyara,35129,25.6904761904762,142.0,8.11904761904762,0.5533518869002089
Qaabrine,35233,25.9206349206349,142.0,7.74603174603174,0.5521151027437278
Zouq El-Hbalsa,35153,27.1042172366049,142.0,6.28712267042421,0.552111819385627
Halba,35111,24.8174603174603,142.0,9.02380952380952,0.5509830246270874
Zouq El Hosniyeh,35151,27.0238095238095,142.0,6.23809523809524,0.5500617974747098
Kfar Noun,35406,24.3015873015873,142.0,9.55555555555556,0.5495433002633701
Hayssa,35221,25.2857142857143,142.0,8.33333333333333,0.5494137120880588
Mqaiteaa,35261,26.6761904761905,142.0,6.60952380952381,0.5492731355589682
Qaa Baalbek,53241,31.9273182957393,8.0,15.4561403508772,0.5486314612417764
Hakour,35131,26.0281610178693,142.0,7.14979531943564,0.5456972589458121
Khreibet Ej-Jindi,35216,24.327380952381,142.0,9.20238095238095,0.5450953372981138
Cheikh Mohammad,35113,24.7520021849838,142.0,8.67047496339705,0.5449763993868771
Majdala,35354,26.9047619047619,142.0,6.0,0.5447360213458836
Tall Aabbas El-Gharbi,35211,24.2312925170068,142.0,9.08163265306122,0.5417852423946068
Mazraat Beit Ghattas,35134,25.6275439060181,142.0,7.27267336549811,0.5405647035681395
Souaisset Aakkar,35143,24.4252863818069,142.0,8.58900732381655,0.5382762193941825
Cheikhlar,35402,25.152380952381,142.0,7.58095238095238,0.5367265854719703
Koueikhat,35215,23.3095238095238,142.0,9.83333333333333,0.5364664623477235
Rmah,35404,25.0634920634921,142.0,7.6031746031746,0.535517994283777
Mounjez,35414,24.5079365079365,142.0,8.26455026455026,0.5351954857790362
Saadine,35217,23.5238095238095,142.0,9.41666666666667,0.5343548134977963
Aandqet,35498,27.8439153439154,142.0,4.08333333333333,0.5342282652120627
Zouarib,35127,24.9761904761905,142.0,7.54761904761905,0.5332600372186677
Karm Aasfour,35133,25.3796059477901,142.0,7.01267881845908,0.5327374066483384
Dibbabiyeh,35432,23.4380952380952,142.0,9.25714285714286,0.530685015894644
Tall Aabbas Ech-Charqi,35213,23.6095238095238,142.0,9.00952380952381,0.5301819775238445
Rmoul,35281,25.797619047619,142.0,6.22619047619048,0.5289823513164162
Qantarat Aakkar,35135,25.5238095238095,142.0,6.46031746031746,0.5275523856507143
Darine,35225,23.0,142.0,9.55102040816327,0.5272798329129746
Hedd,35169,24.2380952380952,142.0,7.97619047619048,0.5266020187564262
Tall Meaayan Tall Kiri,35231,25.1038961038961,142.0,6.84415584415584,0.5257023760015647
Hokr Etti,35223,24.2380952380952,142.0,7.88888888888889,0.525393769886004
Qsair Aakkar,35415,24.8333333333333,142.0,7.11904761904762,0.5248919713488385
Qardaf,35341,26.0190476190476,142.0,5.64761904761905,0.5247517831320945
Fraydes Aakkar,35412,23.6190476190476,142.0,8.47619047619048,0.5229631194885702
Litige,55002,41.4035087719298,9.0,1.79197994987469,0.5227391156521726
Kroum El-Aarab,35119,24.7619047619048,142.0,7.02380952380952,0.5223555505099559
Nfisseh,35115,24.6196020012073,142.0,7.1920648503386,0.5222569879748586
Mazraat En-Nahriyeh,35486,25.5666666666667,142.0,6.01428571428571,0.5221103310281575
Qleiaat Aakkar,35243,25.4965986394558,142.0,6.01360544217687,0.5209057912476834
Deir Jannine,35441,24.552380952381,142.0,7.16190476190476,0.5206930091326429
Cheikh Taba,35123,24.8809523809524,142.0,6.69047619047619,0.5197727885778369
Qaa Baayoun,53257,36.3775510204082,8.0,7.8469387755102,0.5192265566617786
Balde WaMazraatBaldeh,35158,23.8095238095238,142.0,7.9047619047619,0.5183034645264507
Haouchab,35219,23.2857142857143,142.0,8.54761904761905,0.518266141323244
Chir Hmairine,35224,22.4897959183673,142.0,9.45578231292517,0.5172593777928666
Bardeh,35408,25.1428571428571,142.0,5.97619047619048,0.5143543302625395
Ghazayleh,35475,23.152380952381,142.0,8.42857142857143,0.5143443110580364
Berqayel,35314,25.1904761904762,142.0,5.90476190476191,0.5141779837796288
Kfar Harra,35157,24.1904761904762,142.0,7.11904761904762,0.5139269908903027
Knisseh,35465,24.2380952380952,142.0,6.97619047619048,0.5127620771497721
Aarmeh,35484,22.13383124119,142.0,9.5587646381147,0.5126130871368407
Idbil,35117,24.7857142857143,142.0,6.26190476190476,0.512216943482715
Qbaiyat Aakkar,35487,27.0714285714286,142.0,3.37445887445888,0.5112414581939984
Sfinet Ed-Draib,35447,23.8412698412698,142.0,7.31746031746032,0.5107167253691719
Bqerzla,35147,24.8888888888889,142.0,5.93253968253968,0.5094183616955618
Douair Aadouiyeh,35443,24.132226856923,142.0,6.80345006030834,0.5085656014108295
Litige,35001,21.7755536344514,142.0,9.68469936077501,0.5082450055233008
Rihaniyet Aakkar,35467,23.3095238095238,142.0,7.79365079365079,0.5082373751024051
Hokr Jouret Srar,35239,21.725803577731,142.0,9.69870506791856,0.5075902750704937
Janine,35263,21.6666666666667,142.0,9.73015873015873,0.5070169151371269
Aabboudiyeh,35249,21.5390129790424,142.0,9.87306667328501,0.5068174102069385
Khirbet Char,35431,24.3704225981138,142.0,6.3678159069698,0.5065992682850369
Saidnaya,35469,23.2680812048316,142.0,7.69545335318975,0.5061714568262334
Barcha,35241,22.1685809128775,142.0,9.02581869426764,0.5058298589049294
Charbila,35457,23.4761904761905,142.0,7.39153439153439,0.5055148802895093
Machha,35137,24.3095238095238,142.0,6.3452380952381,0.5052480642028718
Aamriyet Aakkar,35421,24.2976190476191,142.0,6.35714285714286,0.5052097702187992
Srar,35471,22.9047619047619,142.0,8.03174603174603,0.5046287227094612
Bebnine,35275,28.1957671957672,97.5,6.59259259259259,0.5043405236482655
Aain Ez-Zeit,35427,24.5079365079365,142.0,6.03174603174603,0.5042936055779353
Aayoun Aakkar,35177,26.3825503248192,142.0,3.70942987933947,0.5041274916555388
Qboula,35179,26.3237311171492,142.0,3.65301578647051,0.5023434660735919
Hayzouq,35139,23.7380952380952,142.0,6.82142857142857,0.5020918632905154
Bsatine Aakkar,35425,24.8333333333333,142.0,5.45238095238095,0.5018254020044148
Berbara Aakkar,35433,24.6031746031746,142.0,5.73015873015873,0.5017440964840717
Chaqdouf,35181,26.6413209341272,142.0,3.20276586031561,0.5015290473780873
Kafr,35423,24.4976608879922,142.0,5.84212077355787,0.5014939355656378
Tallet Chattaha,35173,26.0248922625625,142.0,3.94277566923174,0.5012565402852777
Noura Et-Tahta,35445,22.4857142857143,142.0,8.28571428571429,0.5009960856969098
Haytla,35463,22.9285714285714,142.0,7.73809523809524,0.5009707232599394
Jebrayel,35163,24.9795918367347,142.0,5.19727891156463,0.5007894827495205
Borj Aakkar,35183,26.4371125106658,142.0,3.37858952949082,0.5004793278905265
Qachlaq,35453,22.9047619047619,142.0,7.69047619047619,0.4999055680341745
Mhammaret,35277,28.5595238095238,97.5,5.78571428571429,0.49937783924862317
Mzeihmeh,35461,22.9047619047619,142.0,7.6031746031746,0.49869731916375226
Tall Hmayra,35237,22.2698412698413,142.0,8.33333333333333,0.4979730630233197
Massaaoudiyeh,35229,23.4761904761905,142.0,6.83333333333333,0.49778941023923406
Biret Aakkar,35416,24.968253968254,142.0,4.97619047619048,0.49753624581529654
Ouadi El-Haour,35455,22.9047619047619,142.0,7.50404497203182,0.49732537085724704
Hmaireh Aakkar,35331,24.0952380952381,142.0,6.0,0.4968149956382053
Aamaret El-Baykat,35449,22.9047619047619,142.0,7.45578231292517,0.49665741847342915
Majdel Akkar,35128,25.1142857142857,142.0,4.71428571428571,0.49640230957979536
Hmaiss Aakkar,35470,23.9047619047619,142.0,6.17460317460317,0.49598261028022383
Deir El-Aachayer,55187,40.3412698412698,9.0,1.15396825396825,0.4957908479656015
Beit Mellat,35174,25.1785714285714,142.0,4.51190476190476,0.4946978670623974
Msalla,35451,23.1111111111111,142.0,7.01587301587302,0.4940887228470641
Aayoun El-Ghizlane,35347,24.9502247783244,142.0,4.70962088344106,0.49353942088268404
Sindianet Zeidane,35411,25.1666666666667,142.0,4.38095238095238,0.4926824385630886
Kouachra,35429,23.4940476190476,142.0,6.42857142857143,0.4924921119032454
Khirbet Daoud Aakkar,35417,24.8475377310218,142.0,4.6779421733003,0.49134949376880066
Ilat,35145,24.8163265306122,142.0,4.57142857142857,0.48934299364568135
Kharnoubet Aakkar,35257,21.7619047619048,142.0,8.28571428571428,0.4886503299213725
Baghdadi,35439,23.0238095238095,142.0,6.72222222222222,0.4885355415898941
Mighraq Aakkar,35251,23.8239753258646,142.0,5.65404169619174,0.4874001225246813
Zouq Bhannine,37291,28.5238095238095,97.5,4.91904761904762,0.4867740576084928
Daghleh,35419,24.8524148479352,142.0,4.31980006781192,0.4864760151511898
Harimeh Es-Soughra,52271,37.6530612244898,9.0,3.7687074829932,0.48612688962077105
Tleil,35459,23.0952380952381,142.0,6.45238095238095,0.4860192853342856
Rihaniyet-Miniyeh,37281,27.9047619047619,97.5,5.59523809523809,0.48557362424276157
Aaiyat,35185,25.8571428571429,142.0,2.95238095238095,0.48468829464396856
Beino,35175,24.4688644688645,142.0,4.64102564102564,0.48437967902044915
Haouch El-Harime,52254,37.7513227513228,9.0,3.4973544973545,0.48404739126715113
Aain Tinta,35435,23.2380952380952,142.0,6.11904761904762,0.48384263378951947
Helouet Rachaiya,55197,39.5659340659341,9.0,1.24542124542125,0.48383193172094896
Tall Bireh,35235,22.4081632653061,142.0,7.10884353741497,0.48338550371448813
Daouret Aakkar,35126,25.8869047619048,142.0,2.74404761904762,0.48231261146010707
Jazira BG,52257,37.9365079365079,9.0,2.99206349206349,0.480212829605635
Kneisset Aakkar,35245,23.1428571428571,142.0,5.92857142857143,0.47958201288645813
Raouda (Istabel),52295,36.7482993197279,9.0,4.3265306122449,0.478414934437034
Ouaqf BG,52261,37.9365079365079,9.0,2.80952380952381,0.4776864910583886
Qloud El-Baqieh,35317,23.5238093129985,142.0,5.07979696546365,0.47433278648175237
Litige,53001,39.752380952381,8.0,0.39047619047619,0.47359279651154246
Aanjar (Haouch Moussa),51281,36.0218253968254,9.0,4.84722222222222,0.47323007445245346
Tikrit,35171,24.8650793650794,142.0,3.27777777777778,0.4722705015667343
Aakkar El-Aatiqa,35191,25.8605442176871,142.0,1.87074829931973,0.4697765776553725
Litige,53002,39.672380952381,8.0,0.12,0.4684848909278548
Khiara El-Aatiqa,52247,37.5119047619048,9.0,2.5952380952381,0.4674784873777366
Aain Yaaqoub,35187,25.421768707483,142.0,2.24489795918367,0.4674707528188152
Cheikh Zennad,35267,23.4285714285714,142.0,4.69047619047619,0.4673201717359821
Nasriyet Zahleh,51287,37.3333333333333,9.0,2.71428571428571,0.46608027156861653
Marj BG,52277,36.7738095238095,9.0,3.38095238095238,0.4657633052035858
Rahbeh,35357,23.9190476190476,142.0,3.81428571428572,0.46355962068867573
Bajjaje,53221,28.9428571428571,8.0,12.8666666666667,0.4618884283171567
Dahr Laissine,35155,24.0952380952381,142.0,3.39285714285714,0.4607322907351426
Khiara,52234,36.3443223443223,13.0,3.08424908424908,0.46067895149067206
Hokr Ed-Dahri,35253,22.3637867196363,142.0,5.32806488286078,0.4579827165227248
Aamaret Chalhoub,22343,28.6190476190476,94.0,3.0,0.4562848341281207
Hermel,54111,32.5046583850932,6.0,8.18892339544514,0.45472727824793424
Houaich,35322,23.531746031746,142.0,3.57142857142857,0.45359242971182817
Bezbina,35189,24.6428571428571,142.0,2.08333333333333,0.4519490965879327
Zalqa,22351,28.620271093098,94.0,2.63786904983072,0.4512938312756777
Jall Ed-Did,22327,28.6187834580097,94.0,2.56825877273118,0.4503050550547951
Sammaqiyeh,35271,22.352380952381,142.0,4.65714285714286,0.4485026508407301
Dbayeh,22375,28.6190476190476,94.0,2.38095238095238,0.4477172512287633
Conflict,0,38.2571428571429,9.0,0.228571428571429,0.44743521403281056
Dakoueh,52251,36.281746031746,9.0,2.65873015873016,0.44737484381570264
Dinbou,35318,23.3303571428571,142.0,3.2827380952381,0.4461619533525921
Tell El-Akhdar,51277,36.625,9.0,2.14285714285714,0.44608994948391395
Majdel Aanjar,51284,36.2002801120448,9.0,2.61624649859944,0.44539733787960695
Aammiq BG,52176,33.5897435897436,46.0,1.57142857142857,0.44512553186365034
Jdaidet El-Matn,22211,28.3571428571429,94.0,2.5,0.4448976490639094
Selsata (Mazraat Deir El-Aachaiyer),55191,38.0,9.0,0.238095238095238,0.4431810308170775
Aana,52161,33.1666666666667,53.0,1.13203463203463,0.44293639229301457
Beit El-Haouch,35367,25.9404761904762,97.5,4.92857142857143,0.44284288954835294
