Indicator,Mean_Abs_Kendall_tau,Final_Weight
Mean annual hot days,0.1804652428223579,0.49709932191256884
Forest fire risk,0.08180671107702216,0.22534012626639158
Annual Dry Spell Length,0.10076463630964583,0.27756055182103956
