Indicator,Mean_Abs_Kendall_tau,Final_Weight
Nighttime light radiance,0.1962145255709121,0.1950150056924378
HDS,0.2652099164757332,0.2635886065046415
Negative coping tendency,0.10587013278879465,0.10522291603230137
Unemployment rate,0.050288555209327165,0.049981125769749106
Population dependency ratio,0.13783184808798107,0.1369892395135785
Food insecurity level (IPC),0.25073593253289606,0.2492031064872917
