Indicator,Mean_Abs_Kendall_tau,Final_Weight
Resident_Population (R),0.19846153846153847,0.1
Displaced_Population (D),0.41384615384615386,0.20852713178294574
Heterogeneity (H),0.4676923076923077,0.23565891472868217
Displacement_Ratio (S = D/R),0.4461538461538462,0.2248062015503876
Demographic_Factor (DF = S*H),0.4584615384615385,0.2310077519379845
