,Nighttime light radiance,HDS,Negative coping tendency,Unemployment rate,Population dependency ratio,Food insecurity level (IPC)
Nighttime light radiance,1.0,-0.3230769230769231,0.12983138022438911,0.015528624284612432,-0.19819149595051527,-0.31444420431812065
HDS,-0.3230769230769231,1.0,0.13601382690174096,0.034162973426147346,0.2642553279340204,0.5685405310398344
Negative coping tendency,0.12983138022438911,0.136013826901741,1.0,-0.0873644513671453,0.01659271731566933,0.1595482881350284
Unemployment rate,0.015528624284612434,0.03416297342614735,-0.0873644513671453,1.0,0.056679893518467105,0.05770683345026365
Population dependency ratio,-0.19819149595051527,0.26425532793402035,0.01659271731566933,0.0566798935184671,1.0,0.15343980572123322
Food insecurity level (IPC),-0.31444420431812065,0.5685405310398343,0.15954828813502842,0.05770683345026366,0.15343980572123325,1.0
