ADM1_Name,T1 Displacement Ratio,T2 composite_score,T3 composite_score,T4 composite_score,T5 Demographic Shock Factor,T6 composite_score,T7 composite_score,T8 composite_score
Akkar,0.032186729652512,0.1252944149675858,0.9864637884817791,0.5204923932153771,0.0118694617946299,0.49943036306568145,0.49503532072456063,0.5588202222633554
Baalbek-El Hermel,0.05124299013393095,0.2600906767163226,0.9684333357056949,0.33259210366720227,0.01522877638965501,0.5992465227305162,0.5133638168470579,0.27867006582378046
Beirut,0.1577769710570608,0.19914100522153896,0.1415451347002366,0.6198327262266546,0.912994606868335,0.4617534122136816,0.5209692684218952,0.6117809709483354
Bekaa,0.07426488987966313,0.1960209217776972,0.6055586510626654,0.32178390891845765,0.021901244517461543,0.7049742860177916,0.28760048471993693,0.35943876849452716
El Nabatieh,0.021016062987326143,0.5940338887059612,0.5851103768131944,0.10688312011155786,0.011027079039894428,0.5052856396850395,0.39323779275801085,0.38166293604742463
Mount Lebanon,0.21632099302996624,0.5366160192243861,0.3489644148129412,0.5650913039692201,0.1866814055693453,0.41356756652848636,0.5379902680784988,0.4894583222671186
North,0.04156509302432953,0.4222553510473523,0.576785189135381,0.3723795548669601,0.02023718588228542,0.2793454685373912,0.38726739686090195,0.5524701240757283
South,0.23452159262789402,0.420388534911059,0.5279479226684224,0.4149911256287874,0.14201698714076363,0.4183801593956823,0.4578679097686524,0.37845481435314365
