ADM1_Name,T1 Displacement Ratio,T2 composite_score,T3 composite_score,T4 composite_score,T5 Demographic Shock Factor,T6 composite_score,T7 composite_score,T8 composite_score
Akkar,0.032186729652512,0.16832176218510575,0.9864637884817791,0.5204923932153771,0.0118694617946299,0.8823183882860943,0.37996922531813326,0.322272176603106
Baalbek-El Hermel,0.05124299013393095,0.34152314884721124,0.9684333357056949,0.33259210366720227,0.01522877638965501,0.4821398121261048,0.5527055927668734,0.3387020243063269
Beirut,0.1577769710570608,0.26235175093036983,0.1415451347002366,0.6198327262266546,0.912994606868335,0.26855290961091466,0.45926061950438085,0.6143713728360142
Bekaa,0.07426488987966313,0.30206924631364773,0.6055586510626654,0.32178390891845765,0.021901244517461543,0.4248500654900733,0.41841200301400283,0.4251214409836587
El Nabatieh,0.021016062987326143,0.6388493883933207,0.5851103768131944,0.10688312011155786,0.011027079039894428,0.20057001242230274,0.48255942068131363,0.41876576148353434
Mount Lebanon,0.21632099302996624,0.5314438438444171,0.3489644148129412,0.5650913039692201,0.1866814055693453,0.37369011264970187,0.6954978145211856,0.6404881257836187
North,0.04156509302432953,0.35421608218097783,0.576785189135381,0.3723795548669601,0.02023718588228542,0.31249153342837765,0.6141101499468478,0.5338770641591053
South,0.23452159262789402,0.4845484584661505,0.5279479226684224,0.4149911256287874,0.14201698714076363,0.12356964507638572,0.39816857827549007,0.36828087661623754
