Indicator,Mean_Abs_Kendall_tau,Final_Weight
Reported incidents of gender-based violence,0.29746372081968186,0.1671710688485978
Service access difficulty (female),0.16732202932504636,0.09403298797953341
Safety at night (female),0.19069464469565034,0.10716811949246012
Fear of movement or travel (female),0.32339465940371037,0.1817439475424912
Reports of harassment or violence,0.2759940660041227,0.15510537850680606
Trust in the court system,0.3361732381863119,0.1889253566486741
Female unemployment rate,0.18835477570168566,0.1058531409814373
