ADM1_Name,Displacement Ratio,Outside CS,Inside CS,Overall IDPs,Population
Akkar,0.03218672965251204,14500,1103,15603,484765
Baalbek-El Hermel,0.05284965575926356,21862,0,21862,413664
Beirut,0.15777697105706082,96921,47808,47808,303010
Bekaa,0.043025535444036846,14401,4846,19247,447339
El Nabatieh,0.012453586112632878,3740,761,4501,361422
Mount Lebanon,0.1481141915245582,256385,44099,300484,2028732
North,0.03970110919207157,22301,5306,27607,695371
South,0.24388109835791016,132360,23451,155811,638881
