ADM1_Name,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night,composite_score
El Nabatieh,9.0,6920.0,345.0,266.0,81.2,75.9,0.7506028794972815
South,18.0,3991.0,1624.0,115.0,94.5,59.2,0.6423587341229953
Mount Lebanon,71.0,645.0,1188.0,137.0,93.4,49.7,0.530320118195906
Baalbek-El Hermel,16.0,1099.0,202.0,114.0,39.900000000000006,64.7,0.3385130829523535
Beirut,16.0,212.0,500.0,14.0,94.2,45.5,0.26961761418774344
Bekaa,23.0,379.0,155.0,40.0,81.39999999999999,43.8,0.23720275919389833
North,46.0,188.0,334.0,74.0,76.8,30.3,0.22608502822156223
Akkar,16.0,29.0,344.0,48.0,8.700000000000001,38.4,0.09123204386523172
