ADM1_Name,Mean Annual Hot Days,Forest fire risk,Annual Dry Spell Length,composite_score
Akkar,5.12505882856287,142.0,25.7702049373207,0.882349699843345
Baalbek-El Hermel,2.9554113634473,6.0,28.8384850321463,0.47959863703986083
Bekaa,1.46975612107191,9.0,31.8881819934451,0.42514241710326417
Mount Lebanon,0.425538148665184,79.5,25.471226927253,0.36673541943563626
North,0.394387043520335,36.166667,26.4217117809468,0.2909597730580566
Beirut,1.54992319508449,0.0,24.3993855606759,0.2685619280238305
El Nabatieh,0.898127480158727,31.25,20.1188616071429,0.19986569919231775
South,0.149686088776297,59.666667,16.2877703124427,0.12605633873239439
