ADM1_Name,Reported incidents of gender-based violence,Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate,composite_score
Mount Lebanon,54.0,9.7,48.0,93.4,22.7,92.7,12.8,0.656275074273504
Beirut,20.0,9.1,62.6,95.6,35.2,84.6,12.9,0.5971226404495292
North,37.0,28.7,32.8,78.0,61.4,35.6,20.5,0.5652982351450498
South,13.0,32.4,53.1,96.0,27.7,67.6,15.2,0.537366869512473
El Nabatieh,9.0,23.2,48.8,89.8,5.6,51.1,15.2,0.36878561685062666
Baalbek-El Hermel,6.0,15.1,66.5,37.4,4.3,50.1,17.6,0.316529771084268
Bekaa,8.0,5.2,44.3,80.2,5.1,32.9,16.3,0.25346121392547183
Akkar,6.0,57.8,42.4,4.9,31.9,34.4,11.3,0.20427264901655834
