ADM1_Name,Resident Population,Displaced Population,Heterogeneity,Displacement Ratio,Demographic Factor
Akkar,636152,14309,0.5029974531814758,0.022493051974999685,0.011313947857703406
Baalbek-El Hermel,922156,28625,0.6385228240139476,0.03104138562238927,0.019820633208913946
Beirut,114436,145939,0.6280710830141486,1.275289244643294,0.8009722970394092
Bekaa,778430,16933,0.7028999623877497,0.021752758758012924,0.015290013312837076
El Nabatieh,344721,4758,0.7210132940477932,0.01380246634234642,0.009951761723478988
Mount Lebanon,1429596,397761,0.732538148559864,0.27823315118397085,0.20381639743628274
North,615801,32627,0.6126874094343905,0.05298302536046547,0.0324620325521002
South,531846,160086,0.6452210722324639,0.3010006656062093,0.1942119722051237
