Indicator,Mean_Abs_Kendall_tau,Final_Weight
Inter-sectarian and inter-communal conflict incidents,0.2291557696861398,0.1777832573780877
Number of violent incidents,0.21422462441999235,0.16619940048704449
Number of crime incidents,0.24990955190881955,0.19388442302413264
Number of fatalities in tension incidents,0.2973717066747122,0.23070643491595752
Fear of traveling within Lebanon safely,0.08651663822381692,0.06712119787295086
Feeling lack of safety during the night,0.21178318423150033,0.16430528632182678
