,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Inter-sectarian and inter-communal conflict incidents,1.0,-0.02830874617616934,0.6636828270190811,0.31848587386039745,0.031502665395763484,-0.10379873597928757
Number of violent incidents,-0.028308746176169342,1.0,0.021538461538461538,0.46421049706574147,0.09245003270420486,0.46461538461538465
Number of crime incidents,0.6636828270190811,0.021538461538461538,1.0,0.3271282026302205,0.17873672989479605,-0.05846153846153847
Number of fatalities in tension incidents,0.3184858738603975,0.4642104970657415,0.3271282026302205,1.0,-0.03744373042011536,0.33959022939708605
Fear of traveling within Lebanon safely,0.031502665395763484,0.09245003270420486,0.17873672989479605,-0.03744373042011536,1.0,0.09245003270420486
Feeling lack of safety during the night,-0.10379873597928758,0.46461538461538465,-0.05846153846153847,0.33959022939708605,0.09245003270420486,1.0
