Indicator,Mean_Abs_Kendall_tau,Final_Weight
Reported incidents of gender-based violence,0.17322259528128492,0.17269776966628578
Service access difficulty (female),0.09246054332734031,0.0921804086172228
Safety at night (female),0.19022490726957764,0.18964856846236952
Fear of movement or travel (female),0.1793107796856119,0.17876750823726728
Reports of harassment or violence,0.17260017935854644,0.17207723952420373
Trust in the court system,0.09594788824793865,0.09565718766482001
Female unemployment rate,0.09927208999672828,0.0989713178278309
