Indicator,Mean_Abs_Kendall_tau,Final_Weight,Weight_Source
Forest fire risk,0.21835817248231243,0.09234354516183609,kendall
Annual Dry Spell Length,0.34116939348574543,0.14428033966871165,kendall
Consecutive Dry Days,0.3244037381325479,0.13719015369272677,kendall
Consecutive Wet Days,0.3349491218135267,0.1416497903672929,kendall
Days withh at least 10 mm rainfall,0.29193320176368054,0.12345838259608771,kendall
Days withh at least 20 mm rainfall,0.2611856609596325,0.11045526532973489,kendall
Very Hot Days (Tmax > 35°C),0.25673447602824706,0.10857286179034653,kendall
Hot days (Tmax > 30°C),0.3358946682110201,0.1420496613932634,kendall
