,Forest fire risk,Annual Dry Spell Length,Consecutive Dry Days,Consecutive Wet Days,Days withh at least 10 mm rainfall,Days withh at least 20 mm rainfall,Very Hot Days (Tmax > 35°C),Hot days (Tmax > 30°C)
Forest fire risk,1.0,-0.32049344670791013,0.03698001308168194,-0.01849000654084097,-0.2958401046534555,-0.394453472871274,-0.1417567168131141,-0.32049344670791013
Annual Dry Spell Length,-0.3204934467079102,1.0,-0.3476923076923077,-0.28,0.07076923076923078,0.37230769230769234,-0.046153846153846156,0.9507692307692308
Consecutive Dry Days,0.036980013081681945,-0.3476923076923077,1.0,0.6492307692307693,0.37230769230769234,-0.15076923076923077,0.37846153846153846,-0.3353846153846154
Consecutive Wet Days,-0.018490006540840973,-0.28,0.6492307692307693,1.0,0.4030769230769231,-0.08307692307692308,0.5938461538461539,-0.316923076923077
Days withh at least 10 mm rainfall,-0.29584010465345556,0.07076923076923078,0.37230769230769234,0.4030769230769231,1.0,0.4153846153846154,0.46461538461538465,0.021538461538461538
Days withh at least 20 mm rainfall,-0.394453472871274,0.37230769230769234,-0.15076923076923077,-0.08307692307692308,0.4153846153846154,1.0,0.08923076923076924,0.3230769230769231
Very Hot Days (Tmax > 35°C),-0.1417567168131141,-0.046153846153846156,0.37846153846153846,0.5938461538461539,0.46461538461538465,0.08923076923076924,1.0,-0.08307692307692308
Hot days (Tmax > 30°C),-0.3204934467079102,0.9507692307692308,-0.3353846153846154,-0.316923076923077,0.021538461538461538,0.3230769230769231,-0.08307692307692308,1.0
