,Reported incidents of gender-based violence,Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate
Reported incidents of gender-based violence,1.0,0.12524180878230665,0.20941825845766326,0.24886144733969096,0.2736519313309173,0.03830329136502222,-0.143858834412109
Service access difficulty (female),0.12524180878230665,1.0,0.06916319252984084,-0.2114469482547691,-0.0999067971304055,-0.009788826992209926,-0.0392156862745098
Safety at night (female),0.20941825845766326,0.06916319252984084,1.0,0.2327055531136447,0.4342581007452327,0.10248892027844206,0.0933154184926424
Fear of movement or travel (female),0.2488614473396909,-0.2114469482547691,0.2327055531136447,1.0,0.13036977878424882,0.17135286804440122,-0.08112808257691662
Reports of harassment or violence,0.27365193133091736,-0.0999067971304055,0.4342581007452327,0.13036977878424885,1.0,-0.05652668637191949,0.040887781788554844
Trust in the court system,0.03830329136502221,-0.009788826992209926,0.10248892027844206,0.17135286804440122,-0.056526686371919495,1.0,0.197226736435637
Female unemployment rate,-0.143858834412109,-0.0392156862745098,0.0933154184926424,-0.08112808257691662,0.040887781788554844,0.197226736435637,1.0
