ADM2_Name,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night,composite_score
Tripoli,28.0,117.0,1227.0,46.0,87.8,65.5,0.5975907742268436
El Nabatieh,6.0,2805.0,56.0,73.0,56.0,75.5,0.5288846618261789
Marjaayoun,1.0,1583.0,40.0,114.0,91.4,90.3,0.48672979349258
Saida,14.0,1455.0,217.0,56.0,95.7,62.3,0.45365373596496694
Sour,2.0,1805.0,122.0,56.0,93.8,98.1,0.45273891542842254
Baabda,26.0,427.0,697.0,58.0,92.5,0.0,0.4422043481813492
Baalbek,13.0,862.0,191.0,81.0,35.0,64.8,0.3964492152634972
Bent Jbeil,1.0,1591.0,39.0,73.0,65.4,69.2,0.38504488654206237
Beirut,16.0,212.0,500.0,14.0,94.2,45.5,0.322433315066763
Akkar,16.0,29.0,344.0,48.0,8.700000000000001,38.4,0.2688142224238129
Aley,15.0,124.0,150.0,19.0,93.4,58.6,0.2568003058175362
Hasbaya,1.0,941.0,11.0,6.0,98.7,69.6,0.23427035565694498
El Meten,14.0,4.0,180.0,19.0,99.3,38.8,0.22609528830601203
Zahle,15.0,76.0,113.0,30.0,85.3,31.2,0.2228971735802132
West Bekaa,8.0,192.0,33.0,6.0,84.9,86.3,0.21480638424565304
El Hermel,3.0,237.0,45.0,33.0,84.2,64.6,0.2121371585233809
Kesrwane,10.0,8.0,171.0,17.0,100.0,30.1,0.19236819840146135
Chouf,2.0,69.0,67.0,11.0,98.0,77.8,0.18661781184605786
El Minieh-Dennie,9.0,48.0,244.0,17.0,87.5,4.9,0.16956529443030627
Jezzine,2.0,731.0,12.0,3.0,88.0,3.8,0.12808263391901678
Rachaya,0.0,111.0,9.0,4.0,59.5,67.7,0.12498896555603048
Zgharta,6.0,5.0,53.0,5.0,59.1,33.1,0.11137586594465965
El Koura,0.0,15.0,79.0,2.0,100.0,8.0,0.07610103709499935
Jbeil,4.0,13.0,49.0,13.0,19.4,1.5,0.05395359567215434
El Batroun,3.0,3.0,35.0,2.0,49.2,0.7,0.043435343799371
Bcharre,0.0,0.0,8.0,2.0,7.2,1.2,0.00147943878830729
