Indicator,Mean_Abs_Kendall_tau,Final_Weight,Weight_Source
Inter-sectarian and inter-communal conflict incidents,0.2291557696861398,0.2017937982062018,custom
Number of violent incidents,0.21422462441999235,0.2326857673142327,custom
Number of crime incidents,0.24990955190881955,0.18385681614318386,custom
Number of fatalities in tension incidents,0.2973717066747122,0.30443369556630445,custom
Fear of traveling within Lebanon safely,0.08651663822381692,0.03338296661703339,custom
Feeling lack of safety during the night,0.21178318423150033,0.04384695615304385,custom
