theme,dis_file,gov_file,value_columns,aggregation_methods,sum_columns,mean_columns,composite_action,dis_features,gov_features,gov_with_values,output_geojson,action,available_themes,missing_themes,output_rows,extracted_csv,overall_index_csv,overall_geojson
1.0,DIS Theme 1 - Displacement Pressure__joined.geojson,GOV_lbn_ADM1.geojson,"Displacement Ratio,Outside CS,Inside CS,Overall IDPs,Population",Displacement Ratio=mean; Outside CS=sum; Inside CS=sum; Overall IDPs=sum; Population=sum,"Outside CS,Inside CS,Overall IDPs,Population",Displacement Ratio,none,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 1 - Displacement Pressure__from_dis_spatial.geojson,,,,,,,
2.0,DIS Theme 2 - Tensions and Conflict Risk__joined.geojson,GOV_lbn_ADM1.geojson,"Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night,composite_score",Inter-sectarian and inter-communal conflict incidents=sum; Number of violent incidents=sum; Number of crime incidents=sum; Number of fatalities in tension incidents=sum; Fear of traveling within Lebanon safely=mean; Feeling lack of safety during the night=mean; composite_score=recomputed,"Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents","Fear of traveling within Lebanon safely,Feeling lack of safety during the night",recomputed,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 2 - Tensions and Conflict Risk__from_dis_spatial.geojson,,,,,,,
3.0,DIS Theme 3 - Socioeconomic Vulnerability__joined.geojson,GOV_lbn_ADM1.geojson,"Nighttime light radiance,Household Deprivation Score,Absolute Vulnerability,composite_score",Nighttime light radiance=mean; Household Deprivation Score=mean; Absolute Vulnerability=mean; composite_score=recomputed,,"Nighttime light radiance,Household Deprivation Score,Absolute Vulnerability",recomputed,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 3 - Socioeconomic Vulnerability__from_dis_spatial.geojson,,,,,,,
4.0,DIS Theme 4 - Service & Infrastructure Vulnerability__joined.geojson,GOV_lbn_ADM1.geojson,"Service-related incidents,Perceptions on quality of services: Water,Perceptions on quality of services: Electricity,Perceptions on quality of services: Waste Removal,Worry about access to healthcare services,Worry about access to safe drinking water,Water availability and accessibility,Services as a tension driver,Solid waste pressure (displacement),Quality of education,Quality of healthcare services,Incidents around electricity,Incidents around generator,Incidents around health,Incidents around education,Incidents around civil defence,composite_score",Service-related incidents=sum; Perceptions on quality of services: Water=mean; Perceptions on quality of services: Electricity=mean; Perceptions on quality of services: Waste Removal=mean; Worry about access to healthcare services=mean; Worry about access to safe drinking water=mean; Water availability and accessibility=mean; Services as a tension driver=mean; Solid waste pressure (displacement)=mean; Quality of education=mean; Quality of healthcare services=mean; Incidents around electricity=sum; Incidents around generator=sum; Incidents around health=sum; Incidents around education=sum; Incidents around civil defence=sum; composite_score=recomputed,"Service-related incidents,Incidents around electricity,Incidents around generator,Incidents around health,Incidents around education,Incidents around civil defence","Perceptions on quality of services: Water,Perceptions on quality of services: Electricity,Perceptions on quality of services: Waste Removal,Worry about access to healthcare services,Worry about access to safe drinking water,Water availability and accessibility,Services as a tension driver,Solid waste pressure (displacement),Quality of education,Quality of healthcare services",recomputed,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 4 - Service & Infrastructure Vulnerability__from_dis_spatial.geojson,,,,,,,
5.0,DIS Theme 5 - Demographic Tension Stress__joined.geojson,GOV_lbn_ADM1.geojson,"Resident Population,Displaced Population,Heterogeneity,Displacement Ratio,Demographic Factor",Resident Population=sum; Displaced Population=sum; Heterogeneity=mean; Displacement Ratio=mean; Demographic Factor=mean,"Resident Population,Displaced Population","Heterogeneity,Displacement Ratio,Demographic Factor",none,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 5 - Demographic Tension Stress__from_dis_spatial.geojson,,,,,,,
6.0,DIS Theme 6 - Climate Change and Environmental Risk__joined.geojson,GOV_lbn_ADM1.geojson,"Mean annual hot days,Forest fire risk,Annual Dry Spell Length,composite_score",Mean annual hot days=mean; Forest fire risk=mean; Annual Dry Spell Length=mean; composite_score=recomputed,,"Mean annual hot days,Forest fire risk,Annual Dry Spell Length",recomputed,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 6 - Climate and Environmental Risk__from_dis_spatial.geojson,,,,,,,
7.0,DIS Theme 7 - Political Vulnerability__joined.geojson,GOV_lbn_ADM1.geojson,"Municipal elections turnout,Municipal council entrenchment,Trust in Parliament,Faith in politics,Trust in LAF,Faith in elections,Trust in the court system,Trust in security forces,State Citizen Incidents ,ISF effect on quality of life: worsened life somewhat + alot,LAF effect on quality of life: worsened life somewhat + alot,Municipal authorities effect on quality of life: worsened life somewhat + alot,composite_score",Municipal elections turnout=mean; Municipal council entrenchment=mean; Trust in Parliament=mean; Faith in politics=mean; Trust in LAF=mean; Faith in elections=mean; Trust in the court system=mean; Trust in security forces=mean; State Citizen Incidents =sum; ISF effect on quality of life: worsened life somewhat + alot=mean; LAF effect on quality of life: worsened life somewhat + alot=mean; Municipal authorities effect on quality of life: worsened life somewhat + alot=mean; composite_score=recomputed,State Citizen Incidents ,"Municipal elections turnout,Municipal council entrenchment,Trust in Parliament,Faith in politics,Trust in LAF,Faith in elections,Trust in the court system,Trust in security forces,ISF effect on quality of life: worsened life somewhat + alot,LAF effect on quality of life: worsened life somewhat + alot,Municipal authorities effect on quality of life: worsened life somewhat + alot",recomputed,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 7 - Political Vulnerability__from_dis_spatial.geojson,,,,,,,
8.0,DIS Theme 8 - Gender Based Vulnerabilities__joined.geojson,GOV_lbn_ADM1.geojson,"Reported incidents of gender-based violence,Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate,composite_score",Reported incidents of gender-based violence=sum; Service access difficulty (female)=mean; Safety at night (female)=mean; Fear of movement or travel (female)=mean; Reports of harassment or violence=mean; Trust in the court system=mean; Female unemployment rate=mean; composite_score=recomputed,Reported incidents of gender-based violence,"Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate",recomputed,26.0,8.0,8.0,joined\from_dis_spatial\GOV Theme 8 - Gender Based Vulnerabilities__from_dis_spatial.geojson,,,,,,,
,,,,,,,,,,,,overall_spatial_scored,"1,2,3,4,5,6,7,8",,8.0,GOV_Extracted_Composite_Scores__from_dis_spatial.csv,GOV_Overall_Vulnerability_Index__from_dis_spatial.csv,GOV_Overall_Vulnerability__from_dis_spatial.geojson
