,Resident_Population (R),Displaced_Population (D),Heterogeneity (H),Displacement_Ratio (S = D/R),Demographic_Factor (DF = S*H)
Resident_Population (R),1.0,0.4338461538461538,0.3046153846153846,0.033846153846153845,0.021538461538461538
Displaced_Population (D),0.4338461538461538,1.0,0.4892307692307692,0.36615384615384616,0.36615384615384616
Heterogeneity (H),0.3046153846153846,0.4892307692307692,1.0,0.5076923076923078,0.5692307692307692
Displacement_Ratio (S = D/R),0.033846153846153845,0.36615384615384616,0.5076923076923078,1.0,0.8769230769230769
Demographic_Factor (DF = S*H),0.021538461538461538,0.36615384615384616,0.5692307692307692,0.8769230769230769,1.0
