Indicator,Mean_Abs_Kendall_tau,Final_Weight
Inter-sectarian and inter-communal conflict incidents,0.25684402331346734,0.23026121799024707
Number of violent incidents,0.12356290209327266,0.11077440684567712
Number of crime incidents,0.2549827705106328,0.22859260085896427
Number of fatalities in tension incidents,0.21061411839162184,0.1888160090359949
Fear of traveling within Lebanon safely,0.10159319796700825,0.0910785199578402
Feeling lack of safety during the night,0.16784928630279747,0.15047724531127646
