indicator_field,indicator_label,weight_before_official,slider_raw,weight_after_normalized,delta,inverted,layer_id,resolution,theme_name,exported_at
Fear of traveling within Lebanon safely,Fear of traveling within Lebanon safely,0.067121,0.067,0.050225,-0.016896,false,svAdmin3Layer,district,Tensions and Conflict Risk,2026-08-10T11:47:57.109Z
Feeling lack of safety during the night,Feeling lack of safety during the night,0.164305,0.062,0.046477,-0.117828,false,svAdmin3Layer,district,Tensions and Conflict Risk,2026-08-10T11:47:57.109Z
Inter-sectarian and inter-communal conflict incidents,Inter-sectarian and inter-communal conflict incidents,0.177783,0.178,0.133433,-0.04435,false,svAdmin3Layer,district,Tensions and Conflict Risk,2026-08-10T11:47:57.109Z
Number of crime incidents,Number of crime incidents,0.193884,0.194,0.145427,-0.048457,false,svAdmin3Layer,district,Tensions and Conflict Risk,2026-08-10T11:47:57.109Z
Number of fatalities in tension incidents,Number of fatalities in tension incidents,0.230706,0.667,0.5,0.269294,false,svAdmin3Layer,district,Tensions and Conflict Risk,2026-08-10T11:47:57.109Z
Number of violent incidents,Number of violent incidents,0.166199,0.166,0.124438,-0.041761,false,svAdmin3Layer,district,Tensions and Conflict Risk,2026-08-10T11:47:57.109Z
