ADM3_Name,ACS_Code,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Litige,22002,14.0,4.0,180.0,19.0,99.3,38.8
Bourj Hammoud,22111,15.0,108.0,340.0,16.5,96.75,42.15
Sinn El-Fil,22155,18.666667,214.333333,459.0,30.333333,95.333333,28.1
Jdaidet El-Matn,22211,14.0,4.0,180.0,19.0,99.3,38.8
Baouchriyeh,22228,14.0,4.0,180.0,19.0,99.3,38.8
Deir mar Roukoz,22245,14.0,4.0,180.0,19.0,99.3,38.8
Dekouaneh,22262,14.0,4.0,180.0,19.0,99.3,38.8
Mkalles,22279,20.0,215.5,438.5,38.5,95.9,19.4
Antelias,22311,14.0,4.0,180.0,19.0,99.3,38.8
Menqlet Mezher,22319,14.0,4.0,180.0,19.0,99.3,38.8
Jall Ed-Did,22327,14.0,4.0,180.0,19.0,99.3,38.8
Naqqach,22335,14.0,4.0,180.0,19.0,99.3,38.8
Aamaret Chalhoub,22343,14.0,4.0,180.0,19.0,99.3,38.8
Zalqa,22351,14.0,4.0,180.0,19.0,99.3,38.8
Byaqout,22359,14.0,4.0,180.0,19.0,99.3,38.8
Mazraat El-Hdaira,22367,14.0,4.0,180.0,19.0,99.3,38.8
Dbayeh,22375,14.0,4.0,180.0,19.0,99.3,38.8
Haret El-Ballane,22383,14.0,4.0,180.0,19.0,99.3,38.8
Mazraat Deir Aaoukar,22391,14.0,4.0,180.0,19.0,99.3,38.8
Mansouriyet El-Matn,22411,20.0,215.5,438.5,38.5,95.9,19.4
Daychouniyeh,22415,20.0,215.5,438.5,38.5,95.9,19.4
Fanar,22419,14.0,4.0,180.0,19.0,99.3,38.8
Aain Saadeh,22423,14.0,4.0,180.0,19.0,99.3,38.8
Roumieh,22427,14.0,4.0,180.0,19.0,99.3,38.8
Bqennaya,22431,14.0,4.0,180.0,19.0,99.3,38.8
Majzoub,22435,14.0,4.0,180.0,19.0,99.3,38.8
Bsalim,22439,14.0,4.0,180.0,19.0,99.3,38.8
Nabay,22443,14.0,4.0,180.0,19.0,99.3,38.8
Mtayleb,22447,14.0,4.0,180.0,19.0,99.3,38.8
Beit El-Kekko,22451,14.0,4.0,180.0,19.0,99.3,38.8
Qornet Chehouane,22455,14.0,4.0,180.0,19.0,99.3,38.8
Beit Ech-Chaar,22459,14.0,4.0,180.0,19.0,99.3,38.8
Dik El-Mehdi,22463,14.0,4.0,180.0,19.0,99.3,38.8
Zouk El-Kharab,22467,12.0,6.0,175.5,18.0,99.65,34.45
Aain Aar,22471,14.0,4.0,180.0,19.0,99.3,38.8
Mazraat Yachouaa,22475,14.0,4.0,180.0,19.0,99.3,38.8
Deir Tamich,22479,12.0,6.0,175.5,18.0,99.65,34.45
Zakrit,22483,14.0,4.0,180.0,19.0,99.3,38.8
Deir Mar Aabda el Mchammar,22487,12.0,6.0,175.5,18.0,99.65,34.45
Bikfaya,22511,14.0,4.0,180.0,19.0,99.3,38.8
Mhaidset Matn,22515,14.0,4.0,180.0,19.0,99.3,38.8
Ouadi Chahine,22519,14.0,4.0,180.0,19.0,99.3,38.8
Aain El-Qach,22523,14.0,4.0,180.0,19.0,99.3,38.8
Mar Boutros Karm Et-Tine,22527,12.0,6.0,175.5,18.0,99.65,34.45
Beit Chabab,22531,12.0,6.0,175.5,18.0,99.65,34.45
Bhersaf,22535,14.0,4.0,180.0,19.0,99.3,38.8
Mayasseh,22539,12.0,6.0,175.5,18.0,99.65,34.45
Aain El-Kharroubeh,22543,14.0,4.0,180.0,19.0,99.3,38.8
Himlaya,22547,12.0,6.0,175.5,18.0,99.65,34.45
Aain Aalaq,22551,14.0,4.0,180.0,19.0,99.3,38.8
Aatchaneh,22555,14.0,4.0,180.0,19.0,99.3,38.8
Chaouiyeh,22559,14.0,4.0,180.0,19.0,99.3,38.8
Aain Et-Teffaha,22563,14.0,4.0,180.0,19.0,99.3,38.8
Sfeilet Bikfaya,22567,12.0,6.0,175.5,18.0,99.65,34.45
Fraikeh,22571,12.0,6.0,175.5,18.0,99.65,34.45
Abou Mizane,22575,14.0,4.0,180.0,19.0,99.3,38.8
Deir Chamra,22579,12.0,6.0,175.5,18.0,99.65,34.45
Hbous,22583,14.0,4.0,180.0,19.0,99.3,38.8
Jouar El-Matn,22587,14.0,4.0,180.0,19.0,99.3,38.8
Chrine,22591,14.0,4.0,180.0,19.0,99.3,38.8
Qornet El-Hamra,22595,12.0,6.0,175.5,18.0,99.65,34.45
Broummana El-Matn,22611,20.0,215.5,438.5,38.5,95.9,19.4
Jouret El-Ballout,22619,14.0,4.0,180.0,19.0,99.3,38.8
Masqa,22627,20.0,215.5,438.5,38.5,95.9,19.4
Aayoun El-Matn,22635,20.0,215.5,438.5,38.5,95.9,19.4
Qennabet Broummana,22643,14.0,4.0,180.0,19.0,99.3,38.8
Mzakkeh,22651,14.0,4.0,180.0,19.0,99.3,38.8
Baabdat,22659,20.0,215.5,438.5,38.5,95.9,19.4
Beit Meri,22667,20.0,215.5,438.5,38.5,95.9,19.4
Dahr Es-Souane El-Matn,22675,14.0,4.0,180.0,19.0,99.3,38.8
Qannebet Salima,22683,20.0,215.5,438.5,38.5,95.9,19.4
Bsifrine,22691,20.0,215.5,438.5,38.5,95.9,19.4
Mtain,22711,15.6,275.4,270.4,41.0,82.42,32.98
Aain Ez-Zeitouneh,22714,14.0,4.0,180.0,19.0,99.3,38.8
Mchikha,22717,20.0,215.5,438.5,38.5,95.9,19.4
Khillet El-Mtain,22722,14.0,4.0,180.0,19.0,99.3,38.8
Bnabil,22724,14.0,4.0,180.0,19.0,99.3,38.8
Aain es-Sofsaf El-Matn,22727,14.0,4.0,180.0,19.0,99.3,38.8
Ouata El-Mrouj,22731,14.0,4.0,180.0,19.0,99.3,38.8
Mrouj,22733,14.0,4.0,180.0,19.0,99.3,38.8
Marjaba,22734,14.0,4.0,180.0,19.0,99.3,38.8
Aain Es-Sindiane,22737,14.0,4.0,180.0,19.0,99.3,38.8
Zaraaoun,22741,14.0,4.0,180.0,19.0,99.3,38.8
Qaaqour,22744,14.0,4.0,180.0,19.0,99.3,38.8
Khinchara,22747,14.0,4.0,180.0,19.0,99.3,38.8
Aintoura El-Matn,22751,20.0,215.5,438.5,38.5,95.9,19.4
Choueir,22754,14.0,4.0,180.0,19.0,99.3,38.8
Bteghrine,22757,14.0,4.0,180.0,19.0,99.3,38.8
Douar El-Matn,22761,14.0,4.0,180.0,19.0,99.3,38.8
Chouaya El-Matn,22764,14.0,4.0,180.0,19.0,99.3,38.8
Aayroun,22767,14.0,4.0,180.0,19.0,99.3,38.8
Zighrine El-Matn,22771,14.0,4.0,180.0,19.0,99.3,38.8
Majdel tarchich,22774,20.0,215.5,438.5,38.5,95.9,19.4
