ADM3_Name,ACS_Code,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Zouk Mkayel,25116,10.0,8.0,171.0,17.0,100.0,30.1
Jounie Ghadir,25121,10.0,8.0,171.0,17.0,100.0,30.1
Zouk Mousbeh,25126,12.0,6.0,175.5,18.0,99.65,34.45
Jounie Haret Sakhr,25131,10.0,8.0,171.0,17.0,100.0,30.1
Sahel Aalma,25136,10.0,8.0,171.0,17.0,100.0,30.1
Ouata Sillam,25141,10.0,8.0,171.0,17.0,100.0,30.1
Kfar Yassine,25146,10.0,8.0,171.0,17.0,100.0,30.1
Tabarja,25151,10.0,8.0,171.0,17.0,100.0,30.1
Adma Oua Dafine,25156,10.0,8.0,171.0,17.0,100.0,30.1
Safra Kesrouane,25161,10.0,8.0,171.0,17.0,100.0,30.1
Bouar,25166,10.0,8.0,171.0,17.0,100.0,30.1
Aaqaibeh Kesrouane,25171,10.0,8.0,171.0,17.0,100.0,30.1
Bqaq Ed-Dine,25176,7.0,10.5,110.0,15.0,59.7,15.8
Kharayeb Nahr Ibrahim,25181,7.0,10.5,110.0,15.0,59.7,15.8
Aajaltoun,25211,12.0,6.0,175.5,18.0,99.65,34.45
Balloune,25221,12.0,6.0,175.5,18.0,99.65,34.45
Shayleh Kesrouane,25231,10.0,8.0,171.0,17.0,100.0,30.1
Daraiya Kesrouane,25241,12.0,6.0,175.5,18.0,99.65,34.45
Aain Er-Rihane,25251,10.0,8.0,171.0,17.0,100.0,30.1
Jaaita,25261,12.0,6.0,175.5,18.0,99.65,34.45
Aintoura Kesrouane,25271,10.0,8.0,171.0,17.0,100.0,30.1
Mazraat Er-Ras,25281,12.0,6.0,175.5,18.0,99.65,34.45
Ghazir,25311,10.0,8.0,171.0,17.0,100.0,30.1
Bourj El-Ftouh,25313,10.0,8.0,171.0,17.0,100.0,30.1
Chnanaair,25315,10.0,8.0,171.0,17.0,100.0,30.1
Jdaidet Ghazir,25317,10.0,8.0,171.0,17.0,100.0,30.1
Ghosta,25319,10.0,8.0,171.0,17.0,100.0,30.1
Maarab,25321,10.0,8.0,171.0,17.0,100.0,30.1
Dlebta,25323,10.0,8.0,171.0,17.0,100.0,30.1
Batha,25325,10.0,8.0,171.0,17.0,100.0,30.1
Aaramoun Kesrouane,25327,10.0,8.0,171.0,17.0,100.0,30.1
Kfour Kesrouane,25329,10.0,8.0,171.0,17.0,100.0,30.1
Ghidras,25331,10.0,8.0,171.0,17.0,100.0,30.1
Harharaya,25333,10.0,8.0,171.0,17.0,100.0,30.1
Deir Baqlouch,25335,10.0,8.0,171.0,17.0,100.0,30.1
Bzoummar,25337,10.0,8.0,171.0,17.0,100.0,30.1
Harissa Kesrouane,25339,10.0,8.0,171.0,17.0,100.0,30.1
Nammoura Kesrouane,25341,10.0,8.0,171.0,17.0,100.0,30.1
Ghineh,25343,10.0,8.0,171.0,17.0,100.0,30.1
Hsayn,25345,10.0,8.0,171.0,17.0,100.0,30.1
Daraaoun,25347,10.0,8.0,171.0,17.0,100.0,30.1
Hayata,25349,10.0,8.0,171.0,17.0,100.0,30.1
Chahtoul,25351,10.0,8.0,171.0,17.0,100.0,30.1
Zaaitreh,25353,10.0,8.0,171.0,17.0,100.0,30.1
Jouret E-Tourmos,25355,10.0,8.0,171.0,17.0,100.0,30.1
Maaysra Kesrouane,25357,10.0,8.0,171.0,17.0,100.0,30.1
Jouret Mhad,25359,10.0,8.0,171.0,17.0,100.0,30.1
Aazra ouel Aazr,25361,10.0,8.0,171.0,17.0,100.0,30.1
Ghbaleh Kesrouane,25363,10.0,8.0,171.0,17.0,100.0,30.1
Jouret Bedrane,25365,10.0,8.0,171.0,17.0,100.0,30.1
Mradiyeh,25367,10.0,8.0,171.0,17.0,100.0,30.1
Bizhel,25369,7.0,10.5,110.0,15.0,59.7,15.8
Nahr Ed-Dahab,25371,7.0,10.5,110.0,15.0,59.7,15.8
Yahchouch,25373,7.0,10.5,110.0,15.0,59.7,15.8
Zaitoun,25375,10.0,8.0,171.0,17.0,100.0,30.1
Ighbeh,25391,10.0,8.0,171.0,17.0,100.0,30.1
Rayfoun,25411,10.0,8.0,171.0,17.0,100.0,30.1
Qleiaat Kesrouane,25415,12.0,6.0,175.5,18.0,99.65,34.45
Mazraat Mrah El-Mir,25419,10.0,8.0,171.0,17.0,100.0,30.1
Aachqout,25423,10.0,8.0,171.0,17.0,100.0,30.1
Faytroun,25427,10.0,8.0,171.0,17.0,100.0,30.1
Beqaata Aachqout,25431,10.0,8.0,171.0,17.0,100.0,30.1
Raachine,25435,10.0,8.0,171.0,17.0,100.0,30.1
Kfar Dibiane,25439,12.0,6.0,175.5,18.0,99.65,34.45
Beqaata Kanaan,25443,12.0,6.0,175.5,18.0,99.65,34.45
Kfar Tay Kesrouane,25447,12.0,6.0,175.5,18.0,99.65,34.45
Bqaatouta,25451,12.0,6.0,175.5,18.0,99.65,34.45
Ouata El-Jaouz,25455,10.0,8.0,171.0,17.0,100.0,30.1
Mayrouba,25459,7.0,10.5,110.0,15.0,59.7,15.8
Aain Ed-Delbeh Kesrouane,25463,10.0,8.0,171.0,17.0,100.0,30.1
Mghayer,25467,10.0,8.0,171.0,17.0,100.0,30.1
Hrajel,25471,7.0,10.5,110.0,15.0,59.7,15.8
Faraya,25475,10.0,8.0,171.0,17.0,100.0,30.1
Chouane,25479,7.0,10.5,110.0,15.0,59.7,15.8
Mchaa Kfar Dibiane,25482,12.333333,291.333333,180.666667,39.0,78.1,44.566667
Mchaa Faraya,25485,10.0,8.0,171.0,17.0,100.0,30.1
Mchaa El Ftouh,25488,9.0,294.333333,137.0,37.0,51.466667,32.133333
Litige,26001,4.0,13.0,49.0,13.0,19.4,1.5
Litige,26002,4.0,13.0,49.0,13.0,19.4,1.5
Litige,26003,4.0,13.0,49.0,13.0,19.4,1.5
Litige,26004,4.0,13.0,49.0,13.0,19.4,1.5
Litige,26005,4.0,13.0,49.0,13.0,19.4,1.5
Litige,26006,4.0,13.0,49.0,13.0,19.4,1.5
Litige,26007,7.0,10.5,110.0,15.0,59.7,15.8
Litige,26008,7.0,10.5,110.0,15.0,59.7,15.8
Litige,26009,4.0,13.0,49.0,13.0,19.4,1.5
Jbayl,26111,4.0,13.0,49.0,13.0,19.4,1.5
Mastita,26117,4.0,13.0,49.0,13.0,19.4,1.5
Qartaboun,26123,4.0,13.0,49.0,13.0,19.4,1.5
Blat Jbeil,26129,4.0,13.0,49.0,13.0,19.4,1.5
Eddeh Jbayl,26135,4.0,13.0,49.0,13.0,19.4,1.5
Aamchit,26141,4.0,13.0,49.0,13.0,19.4,1.5
Halate,26147,7.0,10.5,110.0,15.0,59.7,15.8
Hasrayel,26153,4.0,13.0,49.0,13.0,19.4,1.5
Rihanet Jbayl,26159,4.0,13.0,49.0,13.0,19.4,1.5
Jeoddayel Jbayl,26165,4.0,13.0,49.0,13.0,19.4,1.5
Nahr Ibrahim,26171,7.0,10.5,110.0,15.0,59.7,15.8
Mounsef,26177,4.0,13.0,49.0,13.0,19.4,1.5
Berbara Jbayl,26183,4.0,13.0,49.0,13.0,19.4,1.5
Kfar Kiddeh,26189,4.0,13.0,49.0,13.0,19.4,1.5
Ehmej,26211,4.0,13.0,49.0,13.0,19.4,1.5
Aalmat Ech-Chamliyeh,26212,4.0,13.0,49.0,13.0,19.4,1.5
Mazraat El-Maaden,26213,4.0,13.0,49.0,13.0,19.4,1.5
Aalmat Ej-Jnoubiyeh,26214,4.0,13.0,49.0,13.0,19.4,1.5
Tourzaiya,26215,4.0,13.0,49.0,13.0,19.4,1.5
Ferhet,26217,4.0,13.0,49.0,13.0,19.4,1.5
Michmich Jbayl,26218,4.0,13.0,49.0,13.0,19.4,1.5
Aalita,26219,4.0,13.0,49.0,13.0,19.4,1.5
Souanet Jbayl,26220,4.0,13.0,49.0,13.0,19.4,1.5
Aain Ed-Delbeh Jbayl,26221,4.0,13.0,49.0,13.0,19.4,1.5
Frat,26223,7.0,10.5,110.0,15.0,59.7,15.8
Kfar Baal,26224,4.0,13.0,49.0,13.0,19.4,1.5
Hjoula,26226,4.0,13.0,49.0,13.0,19.4,1.5
Aain Jrain,26227,7.0,10.5,110.0,15.0,59.7,15.8
Hsoun,26229,4.0,13.0,49.0,13.0,19.4,1.5
Mchaneh,26231,7.0,10.5,110.0,15.0,59.7,15.8
Lehfed,26233,4.0,13.0,49.0,13.0,19.4,1.5
Habil,26234,4.0,13.0,49.0,13.0,19.4,1.5
Jouret El-Qattine,26236,4.0,13.0,49.0,13.0,19.4,1.5
Birket Hjoula,26237,4.0,13.0,49.0,13.0,19.4,1.5
Adonis Jbayl,26239,7.0,10.5,110.0,15.0,59.7,15.8
Ras Osta,26241,4.0,13.0,49.0,13.0,19.4,1.5
Bichtlida,26243,4.0,13.0,49.0,13.0,19.4,1.5
Bchille Jbayl,26244,4.0,13.0,49.0,13.0,19.4,1.5
Zibdine Jbayl,26246,4.0,13.0,49.0,13.0,19.4,1.5
Haqel,26247,4.0,13.0,49.0,13.0,19.4,1.5
Kharbet Jbayl,26249,3.5,8.0,42.0,7.5,34.3,1.1
Qottara Jbayl,26251,3.5,8.0,42.0,7.5,34.3,1.1
Brayj Jbayl,26253,4.0,13.0,49.0,13.0,19.4,1.5
Sebrine,26254,4.0,13.0,49.0,13.0,19.4,1.5
Aabaydat,26256,4.0,13.0,49.0,13.0,19.4,1.5
Mayfouq,26257,3.5,8.0,42.0,7.5,34.3,1.1
Behdaydat,26259,4.0,13.0,49.0,13.0,19.4,1.5
Ramout,26261,4.0,13.0,49.0,13.0,19.4,1.5
Saqiet El-Khayt,26263,4.0,13.0,49.0,13.0,19.4,1.5
Kfar Qouas,26264,4.0,13.0,49.0,13.0,19.4,1.5
Fatre,26266,7.0,10.5,110.0,15.0,59.7,15.8
Kfoun,26267,4.0,13.0,49.0,13.0,19.4,1.5
Bintaael,26269,4.0,13.0,49.0,13.0,19.4,1.5
Beit Habbaq,26271,4.0,13.0,49.0,13.0,19.4,1.5
Kafr,26273,4.0,13.0,49.0,13.0,19.4,1.5
Jlisseh,26274,4.0,13.0,49.0,13.0,19.4,1.5
Bejjeh,26276,3.5,8.0,42.0,7.5,34.3,1.1
Ghalboun,26277,4.0,13.0,49.0,13.0,19.4,1.5
Chamate,26279,4.0,13.0,49.0,13.0,19.4,1.5
Hbaline,26281,4.0,13.0,49.0,13.0,19.4,1.5
Bmehrayn,26283,4.0,13.0,49.0,13.0,19.4,1.5
Hboub,26284,4.0,13.0,49.0,13.0,19.4,1.5
Hsarat,26286,4.0,13.0,49.0,13.0,19.4,1.5
Kfar Mashoun,26287,4.0,13.0,49.0,13.0,19.4,1.5
Aain Kfaa,26289,3.5,8.0,42.0,7.5,34.3,1.1
Ghofrine,26291,4.0,13.0,49.0,13.0,19.4,1.5
Maad,26293,3.5,8.0,42.0,7.5,34.3,1.1
Gharzouz,26294,4.0,13.0,49.0,13.0,19.4,1.5
Chikhane,26295,4.0,13.0,49.0,13.0,19.4,1.5
Chmout,26296,4.0,13.0,49.0,13.0,19.4,1.5
Bekhaaz,26297,4.0,13.0,49.0,13.0,19.4,1.5
Fghal,26298,3.5,8.0,42.0,7.5,34.3,1.1
Bayzoun,26299,4.0,13.0,49.0,13.0,19.4,1.5
Qartaba,26311,4.0,13.0,49.0,13.0,19.4,1.5
Mar Sarkis,26314,4.0,13.0,49.0,13.0,19.4,1.5
Aain El-Ghouaybeh,26317,4.0,13.0,49.0,13.0,19.4,1.5
Mazraat Es Siyad,26321,4.0,13.0,49.0,13.0,19.4,1.5
Hdeine,26324,4.0,13.0,49.0,13.0,19.4,1.5
Janneh,26327,4.0,13.0,49.0,13.0,19.4,1.5
Lassa,26331,7.0,10.5,110.0,15.0,59.7,15.8
Seraaiita,26334,4.0,13.0,49.0,13.0,19.4,1.5
Ghabat,26337,4.0,13.0,49.0,13.0,19.4,1.5
Mghayreh Jbeil,26341,4.0,13.0,49.0,13.0,19.4,1.5
Tadmor,26344,4.0,13.0,49.0,13.0,19.4,1.5
Yanouh Jbayl,26347,4.0,13.0,49.0,13.0,19.4,1.5
Qorqraiya,26351,7.0,10.5,110.0,15.0,59.7,15.8
Boulhos,26354,4.0,13.0,49.0,13.0,19.4,1.5
Majdel El-Aqoura,26357,7.0,10.5,110.0,15.0,59.7,15.8
Laqlouq,26361,4.0,13.0,49.0,13.0,19.4,1.5
Afqa Jbayl,26364,7.0,10.5,110.0,15.0,59.7,15.8
Qahmez,26367,7.0,10.5,110.0,15.0,59.7,15.8
Aaqoura,26371,7.5,221.5,111.5,28.25,50.9,24.275
Aarab El-Lahib,26374,3.5,8.0,42.0,7.5,34.3,1.1
Saqi Richmaya,26377,4.0,13.0,49.0,13.0,19.4,1.5
Jaj,26381,4.0,13.0,49.0,13.0,19.4,1.5
Tartij,26384,3.5,8.0,42.0,7.5,34.3,1.1
Hema Mar Maroun Aannaya,26388,4.0,13.0,49.0,13.0,19.4,1.5
Hema Er-Rehban,26390,4.0,13.0,49.0,13.0,19.4,1.5
Aarasta,26392,4.0,13.0,49.0,13.0,19.4,1.5
Trablous Ez-Zeitoun,31111,10.75,46.25,400.75,17.5,83.6,27.875
"Trablous El-Haddadine, El-Hadid, El-Mharta",31116,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous Et-Tell,31121,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous En-Nouri,31126,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous El Mhatra,31131,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous Er-Remmaneh,31136,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous Es-Souayqa,31141,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous El Hadid,31146,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous El-Qobbe,31151,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous Ez-Zahrieh,31156,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous et Tabbaneh,31161,28.0,117.0,1227.0,46.0,87.8,65.5
Trablous jardins,31166,12.333333,60.0,516.666667,21.666667,91.766667,26.133333
Mina N:1,31171,28.0,117.0,1227.0,46.0,87.8,65.5
Mina N:2,31176,28.0,117.0,1227.0,46.0,87.8,65.5
Mina N:3,31181,28.0,117.0,1227.0,46.0,87.8,65.5
Mina Jardin,31186,28.0,117.0,1227.0,46.0,87.8,65.5
Qalamoun,31221,14.0,66.0,653.0,24.0,93.9,36.75
Amioun,32111,0.0,15.0,79.0,2.0,100.0,8.0
Kfar Aaqqa,32113,0.0,15.0,79.0,2.0,100.0,8.0
Kfar Saroun El-Koura,32115,0.0,15.0,79.0,2.0,100.0,8.0
Bechmizzine,32117,0.0,15.0,79.0,2.0,100.0,8.0
Bterram,32119,0.0,15.0,79.0,2.0,100.0,8.0
Bziza,32121,1.0,6.0,40.666667,2.0,52.133333,3.3
Kfar Hazir,32123,1.5,9.0,57.0,2.0,74.6,4.35
Bsarma,32125,3.0,10.0,66.0,3.5,79.55,20.55
Aafsdiq,32127,0.0,15.0,79.0,2.0,100.0,8.0
Dar Chmizzine,32129,0.0,15.0,79.0,2.0,100.0,8.0
Dar Baaechtar,32131,0.0,15.0,79.0,2.0,100.0,8.0
Bhabbouch El-Koura,32133,0.0,7.5,43.5,2.0,53.6,4.6
Ain Aakrine,32135,0.0,15.0,79.0,2.0,100.0,8.0
Kousba,32137,3.0,10.0,66.0,3.5,79.55,20.55
Rechdibbine,32139,2.0,6.666667,46.666667,3.0,55.433333,14.1
Bnehran,32141,0.0,7.5,43.5,2.0,53.6,4.6
Aaba,32143,0.0,15.0,79.0,2.0,100.0,8.0
Bdebba,32145,0.0,15.0,79.0,2.0,100.0,8.0
Fiaa,32147,0.0,15.0,79.0,2.0,100.0,8.0
Majdel el-Koura,32149,1.5,9.0,57.0,2.0,74.6,4.35
Kaftoun,32151,1.5,9.0,57.0,2.0,74.6,4.35
Btaaboura,32153,0.0,15.0,79.0,2.0,100.0,8.0
Kfar Hata El-Koura,32155,1.5,9.0,57.0,2.0,74.6,4.35
Ijdaabrine,32157,1.5,9.0,57.0,2.0,74.6,4.35
Batroumine,32159,0.0,15.0,79.0,2.0,100.0,8.0
Badbhoun,32161,1.5,9.0,57.0,2.0,74.6,4.35
Barghoun,32163,1.5,9.0,57.0,2.0,74.6,4.35
Bednayel El-Koura,32165,0.0,15.0,79.0,2.0,100.0,8.0
Kfar Kahel,32167,3.0,10.0,66.0,3.5,79.55,20.55
Btouratij,32169,0.0,15.0,79.0,2.0,100.0,8.0
Qalhat,32171,0.0,15.0,79.0,2.0,100.0,8.0
Deir El-Balamand,32173,14.0,66.0,653.0,24.0,93.9,36.75
Zakroun,32175,0.0,15.0,79.0,2.0,100.0,8.0
Kafraya El-Koura,32177,1.5,9.0,57.0,2.0,74.6,4.35
Deddeh,32179,14.0,66.0,653.0,24.0,93.9,36.75
Enfeh,32181,1.5,9.0,57.0,2.0,74.6,4.35
Hraiche,32183,14.0,66.0,653.0,24.0,93.9,36.75
Ras Masqa,32185,14.0,66.0,653.0,24.0,93.9,36.75
Barsa,32187,0.0,15.0,79.0,2.0,100.0,8.0
Bkeftine,32189,11.333333,45.666667,453.0,17.666667,82.3,35.533333
Nakhleh,32191,0.0,15.0,79.0,2.0,100.0,8.0
Bqaiaa El-Koura,32193,3.0,10.0,66.0,3.5,79.55,20.55
Zgharta El-Mtaouile,32195,1.0,6.0,40.666667,2.0,52.133333,3.3
Zgharta,33111,6.0,5.0,53.0,5.0,59.1,33.1
Aardat,33113,17.0,61.0,640.0,25.5,73.45,49.3
Kfardlaqous,33115,6.0,5.0,53.0,5.0,59.1,33.1
Rachaaine,33117,7.5,26.5,148.5,11.0,73.3,19.0
Qarah Bach,33119,6.0,5.0,53.0,5.0,59.1,33.1
Kfarhata Zgharta,33121,6.0,5.0,53.0,5.0,59.1,33.1
Arde,33123,6.0,5.0,53.0,5.0,59.1,33.1
Asnoun,33125,6.0,5.0,53.0,5.0,59.1,33.1
Mazraat Ajbeaa,33127,6.0,5.0,53.0,5.0,59.1,33.1
Mejdlaiya Zgharta,33129,14.333333,56.666667,508.0,22.666667,78.133333,34.5
Hariq Zgharta,33131,7.5,26.5,148.5,11.0,73.3,19.0
Aalma,33133,6.0,5.0,53.0,5.0,59.1,33.1
Mazraat Jnaid,33135,6.0,5.0,53.0,5.0,59.1,33.1
Deir Jdeide,33137,6.0,5.0,53.0,5.0,59.1,33.1
Khaldiyeh,33139,6.0,5.0,53.0,5.0,59.1,33.1
Iaal,33141,6.0,5.0,53.0,5.0,59.1,33.1
Kfarhoura,33143,11.333333,45.666667,453.0,17.666667,82.3,35.533333
Kfarzaina,33145,6.0,5.0,53.0,5.0,59.1,33.1
Kfarchakhna,33147,3.0,10.0,66.0,3.5,79.55,20.55
Bsebaal,33149,6.0,5.0,53.0,5.0,59.1,33.1
Sakhra,33151,7.5,26.5,148.5,11.0,73.3,19.0
Houakir,33152,7.5,26.5,148.5,11.0,73.3,19.0
Kfaryachit,33153,6.0,5.0,53.0,5.0,59.1,33.1
Morh Kfarsghab,33155,6.0,5.0,53.0,5.0,59.1,33.1
Bchannine,33157,3.0,10.0,66.0,3.5,79.55,20.55
Bnechaai,33159,6.0,5.0,53.0,5.0,59.1,33.1
Aarjis,33161,6.0,5.0,53.0,5.0,59.1,33.1
Daraiya Zgharta,33163,3.0,10.0,66.0,3.5,79.55,20.55
Kfarfou,33165,6.0,5.0,53.0,5.0,59.1,33.1
Ras Kifa,33167,3.0,10.0,66.0,3.5,79.55,20.55
Karm Saddeh,33169,2.0,6.666667,46.666667,3.0,55.433333,14.1
Tallet Zgharta,33171,6.0,5.0,53.0,5.0,59.1,33.1
Ehden,33211,5.0,17.666667,101.666667,8.0,51.266667,13.066667
Beslouqit,33215,6.0,5.0,53.0,5.0,59.1,33.1
Aintourine,33219,6.0,5.0,53.0,5.0,59.1,33.1
Kfarsghab,33223,3.0,2.5,30.5,3.5,33.15,17.15
Aarbet Qozhaiya,33227,3.0,2.5,30.5,3.5,33.15,17.15
Toula Zgharta,33231,7.5,26.5,148.5,11.0,73.3,19.0
Mazraat Et-Teffah,33235,6.0,5.0,53.0,5.0,59.1,33.1
Bhairet Toula,33239,7.5,26.5,148.5,11.0,73.3,19.0
Ayto,33243,6.0,5.0,53.0,5.0,59.1,33.1
Miziara,33251,7.5,26.5,148.5,11.0,73.3,19.0
Seraal,33255,3.0,2.5,30.5,3.5,33.15,17.15
Sebaal Zgharta,33259,6.0,5.0,53.0,5.0,59.1,33.1
Danha,33263,7.5,26.5,148.5,11.0,73.3,19.0
Aachach,33267,7.5,26.5,148.5,11.0,73.3,19.0
Miriata,33271,6.0,5.0,53.0,5.0,59.1,33.1
Hailan,33275,7.5,26.5,148.5,11.0,73.3,19.0
Boussit,33279,7.5,26.5,148.5,11.0,73.3,19.0
Mzraat Kefraya,33283,7.5,26.5,148.5,11.0,73.3,19.0
Hraiqis,33287,7.5,26.5,148.5,11.0,73.3,19.0
Ijbaa,33291,6.0,5.0,53.0,5.0,59.1,33.1
Litige,34001,1.5,9.0,57.0,2.0,74.6,4.35
Litige,34002,3.0,3.0,35.0,2.0,49.2,0.7
Batroun,34111,3.0,3.0,35.0,2.0,49.2,0.7
Rachana,34122,3.5,8.0,42.0,7.5,34.3,1.1
Thoum,34133,3.5,8.0,42.0,7.5,34.3,1.1
Kfar Aabida,34144,3.0,3.0,35.0,2.0,49.2,0.7
Koubba,34155,3.0,3.0,35.0,2.0,49.2,0.7
Selaata,34166,3.0,3.0,35.0,2.0,49.2,0.7
Heri,34177,1.5,9.0,57.0,2.0,74.6,4.35
Chikka,34188,1.5,9.0,57.0,2.0,74.6,4.35
Dahr Abi Yaghi,34211,3.5,8.0,42.0,7.5,34.3,1.1
Toula El-Batroun,34212,3.5,8.0,42.0,7.5,34.3,1.1
Masrah,34214,3.5,8.0,42.0,7.5,34.3,1.1
Daraya El-Batroun,34215,3.0,3.0,35.0,2.0,49.2,0.7
AAbdelli,34217,3.0,3.0,35.0,2.0,49.2,0.7
Douq,34218,3.0,3.0,35.0,2.0,49.2,0.7
Jrabta El-Batroun,34219,3.5,8.0,42.0,7.5,34.3,1.1
Chibtine,34221,3.0,3.0,35.0,2.0,49.2,0.7
Deir Kfifane,34223,3.0,3.0,35.0,2.0,49.2,0.7
Sghar,34224,3.5,8.0,42.0,7.5,34.3,1.1
Mar Mama,34226,3.5,8.0,42.0,7.5,34.3,1.1
Deir Mar Youssef Jrabta,34227,3.0,3.0,35.0,2.0,49.2,0.7
Mrah Ez Ziyat,34229,3.0,3.0,35.0,2.0,49.2,0.7
Ghouma,34231,3.5,8.0,42.0,7.5,34.3,1.1
Kfifane,34233,3.0,3.0,35.0,2.0,49.2,0.7
Jrane El-Batroun,34234,3.0,3.0,35.0,2.0,49.2,0.7
Mehmarch,34236,3.5,8.0,42.0,7.5,34.3,1.1
Aalali,34237,3.0,3.0,35.0,2.0,49.2,0.7
Smar Jbayl,34239,3.0,3.0,35.0,2.0,49.2,0.7
Kfar Hatna,34241,3.0,3.0,35.0,2.0,49.2,0.7
Zaneh,34243,3.0,3.0,35.0,2.0,49.2,0.7
Ftahat El-Batroun,34244,3.0,3.0,35.0,2.0,49.2,0.7
Kour,34246,3.0,3.0,35.0,2.0,49.2,0.7
Racha,34247,3.5,8.0,42.0,7.5,34.3,1.1
Basbina,34249,3.0,3.0,35.0,2.0,49.2,0.7
Aartiz,34251,3.0,3.0,35.0,2.0,49.2,0.7
Harbouna,34253,3.0,3.0,35.0,2.0,49.2,0.7
Mrah El-Hajj,34254,3.0,3.0,35.0,2.0,49.2,0.7
Mrah Chdid,34256,3.0,3.0,35.0,2.0,49.2,0.7
Kfarb Shlaimane,34257,3.0,3.0,35.0,2.0,49.2,0.7
Edde El-Batroun,34259,3.0,3.0,35.0,2.0,49.2,0.7
Sourat El-Batroun,34261,3.0,3.0,35.0,2.0,49.2,0.7
Assia,34263,3.0,3.0,35.0,2.0,49.2,0.7
Bijdarfil,34264,3.0,3.0,35.0,2.0,49.2,0.7
Ijdabra,34266,3.0,3.0,35.0,2.0,49.2,0.7
Helta,34267,3.0,3.0,35.0,2.0,49.2,0.7
Aabrine,34269,3.0,3.0,35.0,2.0,49.2,0.7
Kfar Hay,34271,1.5,9.0,57.0,2.0,74.6,4.35
Nahleh El-Batroun,34273,3.0,3.0,35.0,2.0,49.2,0.7
Jebla,34274,1.5,9.0,57.0,2.0,74.6,4.35
Rachkida,34276,1.5,9.0,57.0,2.0,74.6,4.35
Boqsmaiya,34277,1.5,9.0,57.0,2.0,74.6,4.35
Daael,34279,1.5,9.0,57.0,2.0,74.6,4.35
Kfar Khollos,34281,3.0,3.0,35.0,2.0,49.2,0.7
Qatnaaoun,34283,3.0,3.0,35.0,2.0,49.2,0.7
Ras Nahhach,34284,1.5,9.0,57.0,2.0,74.6,4.35
Ouajh El-Hajjar,34286,3.0,3.0,35.0,2.0,49.2,0.7
Hamat,34287,1.5,9.0,57.0,2.0,74.6,4.35
Douma,34311,3.5,8.0,42.0,7.5,34.3,1.1
Bcheaali,34316,3.5,8.0,42.0,7.5,34.3,1.1
Beit Chlala,34321,3.0,3.0,35.0,2.0,49.2,0.7
Deir Mar Youhanna EL-Batroun,34326,3.0,3.0,35.0,2.0,49.2,0.7
Bechtoudar,34331,1.5,9.0,57.0,2.0,74.6,4.35
Kfar Hilda,34336,3.0,3.0,35.0,2.0,49.2,0.7
Kfour El-Aarbi,34341,1.5,1.5,21.5,2.0,28.2,0.95
Ram El-Batroun,34346,3.5,8.0,42.0,7.5,34.3,1.1
Hadtoun,34351,3.5,8.0,42.0,7.5,34.3,1.1
Tannourine Et-Tahta,34356,1.5,1.5,21.5,2.0,28.2,0.95
Hardine,34361,1.0,6.0,40.666667,2.0,52.133333,3.3
Chatine,34366,3.5,8.0,42.0,7.5,34.3,1.1
Beit Kassab,34371,1.0,6.0,40.666667,2.0,52.133333,3.3
Deir Billa,34374,1.0,6.0,40.666667,2.0,52.133333,3.3
Niha El-Batroun,34376,1.5,1.5,21.5,2.0,28.2,0.95
Ouata Houb,34381,3.0,3.0,35.0,2.0,49.2,0.7
Tannourine El-Faouqa,34386,5.0,219.5,70.75,24.5,27.7,17.05
Litige,35001,16.0,29.0,344.0,48.0,8.7,38.4
Litige,35002,16.0,29.0,344.0,48.0,8.7,38.4
Litige,35003,16.0,29.0,344.0,48.0,8.7,38.4
Halba,35111,16.0,29.0,344.0,48.0,8.7,38.4
Cheikh Mohammad,35113,16.0,29.0,344.0,48.0,8.7,38.4
Nfisseh,35115,16.0,29.0,344.0,48.0,8.7,38.4
Idbil,35117,16.0,29.0,344.0,48.0,8.7,38.4
Kroum El-Aarab,35119,16.0,29.0,344.0,48.0,8.7,38.4
Cheikh Taba Es-Sahl,35121,16.0,29.0,344.0,48.0,8.7,38.4
Cheikh Taba,35123,16.0,29.0,344.0,48.0,8.7,38.4
Jdidet Ej-Joumeh,35125,16.0,29.0,344.0,48.0,8.7,38.4
Daouret Aakkar,35126,16.0,29.0,344.0,48.0,8.7,38.4
Zouarib,35127,16.0,29.0,344.0,48.0,8.7,38.4
Majdel Akkar,35128,16.0,29.0,344.0,48.0,8.7,38.4
Minyara,35129,16.0,29.0,344.0,48.0,8.7,38.4
Hakour,35131,16.0,29.0,344.0,48.0,8.7,38.4
Karm Aasfour,35133,16.0,29.0,344.0,48.0,8.7,38.4
Mazraat Beit Ghattas,35134,16.0,29.0,344.0,48.0,8.7,38.4
Qantarat Aakkar,35135,16.0,29.0,344.0,48.0,8.7,38.4
Machha,35137,16.0,29.0,344.0,48.0,8.7,38.4
