adm3_name,ACS_Code,Mean annual hot days,Forest fire risk,Annual Dry Spell Length
Aamra,73191,26.2767857142857,24.0,4.02083333333333
Aadaysseh Marjaayoun,73211,22.3333333333333,25.0,0.428571428571429
Bany haiyane,73226,19.1666666666667,25.0,0.726190476190476
Kfar Kila,73228,23.25,25.0,0.699404761904762
Deir Siriane,73230,20.2761904761905,33.5,0.752380952380952
Taybet Matjaayoun,73232,21.3636363636364,33.5,0.692640692640693
Houla,73234,20.7074829931973,30.0,0.580498866213152
Talloussa,73244,18.9319727891156,25.0,0.680272108843537
Markaba,73245,20.4952380952381,25.0,0.438095238095238
Mhaibib,73248,20.6031746031746,30.0,1.27777777777778
Meiss Ej-Jabal,73250,20.684126984127,30.0,0.90952380952381
Aadchit El-Qoussair,73256,19.0584415584416,30.0,0.614718614718615
Rabb Et-Tlatine,73257,20.9107142857143,25.0,0.482142857142857
Qabrikha,73262,18.0340136054422,30.0,0.578231292517007
Qantara,73276,17.9285714285714,30.0,0.619047619047619
Majdel Selm,73279,17.6755952380952,30.0,0.443452380952381
Saouanet Marjayoun,73280,16.5892857142857,30.0,0.25
Touline,73282,16.5952380952381,30.0,0.371428571428571
Blida,73288,20.7886904761905,30.0,1.94047619047619
Aalmane Marjaayoun,73293,18.3703703703704,34.0,0.714285714285714
Hasbaiya,74111,25.3698412698413,18.0,1.41587301587302
Abou Qamha,74112,25.1111111111111,23.0,2.01587301587302
Aain Jarfa,74114,25.2666666666667,23.0,1.59047619047619
Fardis Hasbaiya,74116,25.2460317460317,24.0,2.14285714285714
Rachaiya El-Foukhar,74118,25.4761904761905,24.0,1.83730158730159
Kfar Hamam,74120,25.5,23.0,1.51785714285714
Hebbariyeh,74122,25.2567287784679,23.0,1.2008281573499
Chouaya Hasbaiya,74124,27.2197802197802,16.0,0.483516483516483
Aain Qinia,74126,25.9238095238095,23.0,1.0952380952381
Meimes,74128,26.6147186147186,18.0,1.63419913419913
Chebaa,74130,26.9639953542393,16.0,0.203252032520325
Marj Ez-Zouhour (Haouch El-Qinnaabeh),74131,29.5502645502645,15.0,1.88888888888889
Kaoukaba Hasbaiya,74133,24.9387755102041,24.0,1.06802721088435
Salaiyeb,74141,26.7261904761905,24.0,5.48809523809524
Bourghos,74155,24.968253968254,40.666667,1.25396825396825
Meri,74158,25.5079365079365,24.0,3.83597883597884
Kfar Chouba,74160,25.4825396825397,23.0,1.13650793650794
Khalouet Hasbaiya,74168,28.593253968254,16.0,0.535714285714286
Kfayr Ez-Zait,74175,28.668430335097,15.0,1.39329805996473
Majidiyeh Hasbaiya,74177,25.9285714285714,24.0,3.84353741496599
Dellafeh,74179,25.3095238095238,36.666667,1.14285714285714
Khreibet Hasbaiya,74181,25.4761904761905,24.0,2.6031746031746
