ADM1_Name,Reported incidents of gender-based violence,Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate
Akkar,6,57.8,42.4,4.9,31.9,34.4,11.3
Mount Lebanon,54,9.7,48.0,93.4,22.7,92.7,12.8
Baalbek-El Hermel,6,15.1,66.5,37.4,4.3,50.1,17.6
North,37,28.7,32.8,78.0,61.4,35.6,20.5
Beirut,20,9.1,62.6,95.6,35.2,84.6,12.9
El Nabatieh,9,23.2,48.8,89.8,5.6,51.1,15.2
South,13,32.4,53.1,96.0,27.7,67.6,15.2
Bekaa,8,5.2,44.3,80.2,5.1,32.9,16.3
