ADM1_Name,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Akkar,16,29,344,48,8.700000000000001,38.4
Baalbek-El Hermel,16,1099,202,114,39.900000000000006,64.7
Beirut,16,212,500,14,94.2,45.5
Bekaa,23,379,155,40,81.39999999999999,43.8
El Nabatieh,9,6920,345,266,81.2,75.9
Mount Lebanon,71,645,1188,137,93.4,49.699999999999996
North,46,188,334,74,76.8,30.3
South,18,3991,1624,115,94.5,59.199999999999996
