ADM3_NAME,CODE_NEW,composite_score,coping1_pred,coping2_pred,coping3_pred,coping4_pred,coping5_pred,coping6_pred,coping7_pred,coping8_pred,coping9_pred,coping10_pred,coping11_pred,coping12_pred,coping97_pred,coping98_pred,coping99_pred,coping14_pred,CODE_min,CODE_max,ADM1_NAME_max,MOHAFAZA_1_max,ADM2_NAME_max
Beit Meri,506023,0.0833671399894302,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Hadath Beyrouth,502024,0.212042393887532,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Baabda,502006,0.0675382351582333,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Ouadi Chahrour Es-Soufla,502043,0.0929988973814555,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
LouayzT Baabda,502039,0.0798424143058012,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Kfar Chima,502033,0.0751720354865674,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
AabadiyT,502001,0.130800822505495,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Rouayssrt El-Ballout,502053,0.0558394678276946,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Ras El Matn,502051,0.0864871953384373,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Ras El Matn,502051,0.0864871953384373,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Ras El Matn,502051,0.0864871953384373,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Ras El Matn,502051,0.0864871953384373,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Chmeisset Baabda,502017,0.0684053938942193,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Haret HamzT,502027,0.0810143106553924,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Ras El Matn,502051,0.0864871953384373,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Ras El Matn,502051,0.0864871953384373,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Qobbayaa,502045,0.0714228278011977,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Baabda
