ADM1_Name,Displacement Pressure,Socioeconomic Vulnerability,Tension and Conflict Risk,Service & Infrastructure Vulnerability,Demographic Tension / Stress
Akkar,0.022493051974999685,0.6604778610133932,0.09196001196291889,0.535448,0.0113139478577034
Baalbek-El Hermel,0.03104138562238927,0.46759091649652296,0.30919304642342355,0.508232,0.0198206332089139
Beirut,1.275289244643294,0.547727639152959,0.3743937102838865,0.696188,0.800972297039409
Bekaa,0.021752758758012924,0.6001129657322513,0.32729734461013144,0.403258,0.0152900133128371
El Nabatieh,0.01380246634234642,0.2634421527272643,0.5300797736157983,0.319531,0.00995176172347899
Mount Lebanon,0.27823315118397085,0.4536106271810112,0.774459132059227,0.586561,0.203816397436283
North,0.05298302536046547,0.44788525022673836,0.3247522238646947,0.397173,0.0324620325521002
South,0.3010006656062093,0.47940076400345716,0.8429582006128428,0.426552,0.194211972205124
