,Reported incidents of gender-based violence,Service access difficulty (female),Safety at night (female),Fear of movement or travel (female),Reports of harassment or violence,Trust in the court system,Female unemployment rate
Reported incidents of gender-based violence,1.0,-0.10910894511799618,-0.036369648372665396,0.47280542884465016,0.47280542884465016,0.5455447255899809,-0.14814814814814814
Service access difficulty (female),-0.1091089451179962,1.0,-0.14285714285714285,-0.21428571428571427,0.2857142857142857,-0.14285714285714285,-0.1091089451179962
Safety at night (female),-0.036369648372665396,-0.14285714285714285,1.0,0.3571428571428571,-0.2857142857142857,0.2857142857142857,0.036369648372665396
Fear of movement or travel (female),0.4728054288446501,-0.21428571428571427,0.3571428571428571,1.0,0.21428571428571427,0.4999999999999999,-0.181848241863327
Reports of harassment or violence,0.4728054288446501,0.2857142857142857,-0.2857142857142857,0.21428571428571427,1.0,0.14285714285714285,-0.25458753860865774
Trust in the court system,0.5455447255899809,-0.14285714285714285,0.2857142857142857,0.4999999999999999,0.14285714285714285,1.0,-0.4000661320993193
Female unemployment rate,-0.14814814814814814,-0.10910894511799618,0.036369648372665396,-0.18184824186332696,-0.2545875386086578,-0.40006613209931935,1.0
