Indicator,Mean_Abs_Kendall_tau,Final_Weight,Weight_Source
Inter-sectarian and inter-communal conflict incidents,0.17386365758424452,0.10113315432284302,kendall
Number of violent incidents,0.4092250187294941,0.2380383430728462,kendall
Number of crime incidents,0.25041643231732735,0.14566243484353697,kendall
Number of fatalities in tension incidents,0.2361307180316131,0.13735270889192955,kendall
Fear of traveling within Lebanon safely,0.2377964473009227,0.13832163165355693,kendall
Feeling lack of safety during the night,0.4117236126334586,0.2394917272152873,kendall
