,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Inter-sectarian and inter-communal conflict incidents,1.0,-0.1889822365046136,0.03779644730092272,0.03779644730092272,0.1889822365046136,-0.41576092031014994
Number of violent incidents,-0.1889822365046136,1.0,0.21428571428571427,0.5714285714285714,0.2857142857142857,0.7857142857142856
Number of crime incidents,0.03779644730092272,0.21428571428571427,1.0,0.21428571428571427,0.4999999999999999,0.2857142857142857
Number of fatalities in tension incidents,0.03779644730092272,0.5714285714285714,0.21428571428571427,1.0,0.0,0.3571428571428571
Fear of traveling within Lebanon safely,0.1889822365046136,0.2857142857142857,0.4999999999999999,0.0,1.0,0.21428571428571427
Feeling lack of safety during the night,-0.4157609203101499,0.7857142857142856,0.2857142857142857,0.3571428571428571,0.21428571428571427,1.0
