Indicator,Mean_Abs_Kendall_tau,Final_Weight,Weight_Source
Consecutive Dry Days,0.25986160942837916,0.14449301243760287,kendall
Consecutive Wet Days,0.2648651664915811,0.14727518189524552,kendall
Days withh at least 10 mm rainfall,0.2914091934678101,0.1620346780303505,kendall
Days withh at least 20 mm rainfall,0.21824807393097517,0.12135429211863927,kendall
Very Hot Days (Tmax > 35°C),0.2486450070843243,0.13825615172711825,kendall
Hot days (Tmax > 30°C),0.15582288715775977,0.08664349621198991,kendall
Forest fire risk,0.1655909235332009,0.0920748987365578,kendall
Annual Dry Spell Length,0.19399434389258755,0.10786828884249591,kendall
