,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Inter-sectarian and inter-communal conflict incidents,1.0,-0.047347076807483034,0.6986545782006705,0.34697350341749705,-0.03576225060832811,-0.1246910665523769
Number of violent incidents,-0.047347076807483034,1.0,-0.0017625650478916622,0.4309247129276712,0.043007545129363625,0.4554281794818848
Number of crime incidents,0.6986545782006705,-0.0017625650478916622,1.0,0.3757186944422521,0.047988293013802856,-0.05621104730369463
Number of fatalities in tension incidents,0.34697350341749705,0.43092471292767126,0.3757186944422521,1.0,-0.08891768210057077,0.3550622438682719
Fear of traveling within Lebanon safely,-0.03576225060832811,0.043007545129363625,0.047988293013802856,-0.08891768210057079,1.0,0.15765780287837763
Feeling lack of safety during the night,-0.12469106655237688,0.45542817948188474,-0.05621104730369463,0.35506224386827195,0.15765780287837766,1.0
